review_id,review_text,sentiment
93988e02-611f-4bc0-bbf0-8961314cd6ff,"An ordinary experience. The passable was bathroom facilities, and the security was nothing to rave about.",neutral
692727bd-738a-42fb-94e4-e73af56c0041,"Nothing exceptional, but nothing terrible either. The passable was check-in process, and the restaurant service was fine.",neutral
fd4500c2-573a-4332-9bf0-d27b011d7a31,"Pretty average overall. The moderate was view from the room, and the bed comfort was nothing special.",neutral
89c99815-6b47-4913-af47-f4e4ebc0dcfa,"Not the best, not the worst—just fair. The staff friendliness was fine, and the customer service was acceptable.",neutral
2805b315-2306-4da6-9ccf-a7384c9d3a93,"A decent stay. The standard was bathroom facilities, and the room cleanliness could have been better.",neutral
b0b89594-da13-4704-b001-7e9d051a912e,"Nothing exceptional, but nothing terrible either. The moderate was air conditioning, and the check-in process was fine.",neutral
33095ea3-a47e-4b22-8163-72415b24ef93,"Pretty average overall. The passable was bathroom facilities, and the security was nothing special.",neutral
7bba0039-c217-4995-84a2-3a9867700619,"The stay was unremarkable. The bar was okay, and the WiFi speed was neither great nor bad.",neutral
4fc98ad8-9da6-4e31-961c-794b073d067d,"The stay was unremarkable. The customer service was okay, and the bar was neither great nor bad.",neutral
d2bfa88a-f067-40e9-bf7e-76d32dc10b69,"Fairly standard. The okay was restaurant service, and the noise levels was neither good nor bad.",neutral
109e1496-3c5b-4870-b7a2-308770971681,"Pretty average overall. The passable was security, and the parking availability was nothing special.",neutral
61bdef5c-999f-43d1-a9f9-bdd742aab73f,"The stay was satisfactory. The spa was okay, and the view from the room was neither great nor bad.",neutral
aff744cf-d9e8-4786-b966-b9dc1643ed09,"If you're looking for a basic stay, this is okay. The acceptable was bar, and the customer service was neutral.",neutral
72a483fc-f8a4-4dd1-8cc8-a1a3eb4c9e46,"If you're looking for a basic stay, this is okay. The standard was bed comfort, and the WiFi speed was neutral.",neutral
2adfcabe-4544-405b-8788-3cf44b4f3665,"An ordinary experience. The unremarkable was security, and the WiFi speed was nothing to rave about.",neutral
e768ea54-0e28-496a-b6e2-4362e604bc77,"Nothing exceptional, but nothing terrible either. The decent was air conditioning, and the food quality was fine.",neutral
