review_id,review_text,sentiment,review_text
42f0e59a-f1f4-4f65-828a-718e75b07a96,"Exceeded all expectations! The top-notch was customer service, and the flight entertainment made the journey special.",positive,"Exceeded all expectations! The top-notch was customer service, and the flight entertainment made the journey special."
e0f6c41e-469b-41af-975c-d082b8faf21e,"A truly enjoyable flight! The comfortable was air conditioning, and the WiFi speed was spot on.",positive,"A truly enjoyable flight! The comfortable was air conditioning, and the WiFi speed was spot on."
b29785f8-422e-4271-bfe1-377ecb3af0fa,"Highly recommend this airline! The smooth was boarding process, and the food quality was top-notch.",positive,"Highly recommend this airline! The smooth was boarding process, and the food quality was top-notch."
5b8ec12b-e2ab-43e6-859e-eb3a243b3722,Absolutely fantastic! The top-notch was check-in process and the bathroom cleanliness made my journey comfortable.,positive,Absolutely fantastic! The top-notch was check-in process and the bathroom cleanliness made my journey comfortable.
eb7de5c0-5540-4a35-81a6-61e929d1f990,"Loved every moment! The perfect was super aircraft cleanliness, and the seat comfort was beyond my expectations.",positive,"Loved every moment! The perfect was super aircraft cleanliness, and the seat comfort was beyond my expectations."
4474802b-78b1-4ce5-a054-f9e34a58f9dd,"Exceeded all expectations! The incredible was snack options, and the food quality made the journey special.",positive,"Exceeded all expectations! The incredible was snack options, and the food quality made the journey special."
35ec5ae2-25b0-4f6b-843a-c2d121d8f4fd,"A truly enjoyable flight! The fantastic was air conditioning, and the crew friendliness was spot on.",positive,"A truly enjoyable flight! The fantastic was air conditioning, and the crew friendliness was spot on."
afdb15fd-4655-4d37-88ca-2c94505d0372,"A truly enjoyable flight! The incredible was aircraft cleanliness, and the WiFi speed was spot on.",positive,"A truly enjoyable flight! The incredible was aircraft cleanliness, and the WiFi speed was spot on."
63d37bf9-95a3-48a4-92eb-991747336d34,Such a smooth experience! The perfect was WiFi speed and the seat comfort was just perfect.,positive,Such a smooth experience! The perfect was WiFi speed and the seat comfort was just perfect.
1fc60889-f8ad-436b-b909-aa92cc51405b,I had an amazing flight. The outstanding was WiFi speed and the punctuality was the highlight.,positive,I had an amazing flight. The outstanding was WiFi speed and the punctuality was the highlight.
a13bb14e-ae76-43d8-a8b2-e81adbd5ce48,"Highly recommend this airline! The amazing was ticket pricing, and the snack options was top-notch.",positive,"Highly recommend this airline! The amazing was ticket pricing, and the snack options was top-notch."
78dc74de-18bd-4171-adb5-1cb1f368b129,I had an amazing flight. The incredible was overhead storage and the air conditioning was the highlight.,positive,I had an amazing flight. The incredible was overhead storage and the air conditioning was the highlight.
27619fab-5d4b-452a-9f82-2b166e509acb,"A truly enjoyable flight! The incredible was overhead storage, and the WiFi speed was spot on.",positive,"A truly enjoyable flight! The incredible was overhead storage, and the WiFi speed was spot on."
